Image #, Neuron #, Time Event,Censored,Constructs,Experiment
A5,,156,0,28iALS,LINCS06282017
A5,,84,1,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,120,1,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,156,0,28iALS,LINCS06282017
A5,,120,1,28iALS,LINCS06282017
A5,,12,1,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,132,1,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,60,1,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,156,0,30iALS,LINCS06282017
A5,,48,1,30iALS,LINCS06282017
A6,,132,1,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,120,1,30iALS,LINCS06282017
A6,,84,1,30iALS,LINCS06282017
A6,,60,1,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,156,0,30iALS,LINCS06282017
A6,,132,1,30iALS,LINCS06282017
A6,,12,1,30iALS,LINCS06282017
A6,,120,1,30iALS,LINCS06282017
A6,,48,1,25iCTR,LINCS06282017
A6,,12,1,25iCTR,LINCS06282017
A6,,24,1,25iCTR,LINCS06282017
A6,,108,1,25iCTR,LINCS06282017
A6,,96,1,25iCTR,LINCS06282017
A6,,120,1,25iCTR,LINCS06282017
A6,,60,1,25iCTR,LINCS06282017
A6,,96,1,25iCTR,LINCS06282017
A6,,132,1,25iCTR,LINCS06282017
A6,,60,1,25iCTR,LINCS06282017
A6,,36,1,28iALS,LINCS06282017
A6,,84,1,28iALS,LINCS06282017
A6,,156,0,28iALS,LINCS06282017
A6,,156,0,28iALS,LINCS06282017
A6,,156,0,28iALS,LINCS06282017
A7,,36,1,28iALS,LINCS06282017
A7,,156,0,28iALS,LINCS06282017
A7,,156,0,28iALS,LINCS06282017
A7,,156,0,28iALS,LINCS06282017
A7,,108,1,28iALS,LINCS06282017
A7,,48,1,28iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,132,1,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,144,1,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,156,0,30iALS,LINCS06282017
A7,,144,1,30iALS,LINCS06282017
A8,,24,1,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,108,1,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,24,1,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,48,1,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,156,0,30iALS,LINCS06282017
A8,,132,1,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,132,1,52iALS,LINCS06282017
A8,,84,1,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,84,1,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,12,1,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,156,0,52iALS,LINCS06282017
A8,,156,0,28iALS,LINCS06282017
A8,,156,0,28iALS,LINCS06282017
A8,,156,0,28iALS,LINCS06282017
A8,,156,0,28iALS,LINCS06282017
A8,,36,1,28iALS,LINCS06282017
A9,,108,1,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,144,1,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,156,0,28iALS,LINCS06282017
A9,,144,1,28iALS,LINCS06282017
A10,,12,1,28iALS,LINCS06282017
A10,,156,0,28iALS,LINCS06282017
A10,,120,1,28iALS,LINCS06282017
A10,,120,1,28iALS,LINCS06282017
A10,,120,1,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,144,1,30iALS,LINCS06282017
A10,,84,1,30iALS,LINCS06282017
A10,,120,1,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A10,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,24,1,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,108,1,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,12,1,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,60,1,30iALS,LINCS06282017
A11,,12,1,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,36,1,30iALS,LINCS06282017
A11,,144,1,30iALS,LINCS06282017
A11,,156,0,30iALS,LINCS06282017
A11,,48,1,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,132,1,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,60,1,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,96,1,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,84,1,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,30iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,156,0,52iALS,LINCS06282017
A12,,108,1,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
A12,,60,1,28iALS,LINCS06282017
A12,,60,1,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
A12,,60,1,28iALS,LINCS06282017
A12,,156,0,28iALS,LINCS06282017
B1,,84,1,28iALS,LINCS06282017
B1,,48,1,28iALS,LINCS06282017
B1,,156,0,28iALS,LINCS06282017
B1,,156,0,28iALS,LINCS06282017
B1,,36,1,28iALS,LINCS06282017
B1,,156,0,28iALS,LINCS06282017
B1,,156,0,30iALS,LINCS06282017
B1,,36,1,30iALS,LINCS06282017
B1,,156,0,30iALS,LINCS06282017
B1,,156,0,30iALS,LINCS06282017
B1,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,60,1,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,60,1,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,60,1,30iALS,LINCS06282017
B2,,132,1,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,60,1,30iALS,LINCS06282017
B2,,156,0,30iALS,LINCS06282017
B2,,108,1,30iALS,LINCS06282017
B3,,84,1,30iALS,LINCS06282017
B3,,156,0,30iALS,LINCS06282017
B3,,120,1,25iCTR,LINCS06282017
B3,,48,1,25iCTR,LINCS06282017
B3,,120,1,25iCTR,LINCS06282017
B3,,48,1,25iCTR,LINCS06282017
B3,,60,1,25iCTR,LINCS06282017
B3,,24,1,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,12,1,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,96,1,25iCTR,LINCS06282017
B3,,48,1,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,60,1,25iCTR,LINCS06282017
B3,,24,1,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,60,1,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,60,1,25iCTR,LINCS06282017
